,main_style,brewery_name,beer_style,beer_name,beer_abv,cluster,avg_review_overall_p_style_p_group,avg_review_aroma_p_style_p_group,avg_review_appearance_p_style_p_group,avg_review_palate_p_style_p_group,avg_review_taste_p_style_p_group,total_reviews_per_style_by_cluster,total_reviews_by_cluster,avg_review_overall_p_beer_p_style_p_group,avg_review_aroma_p_beer_p_style_p_group,avg_review_appearance_p_beer_p_style_p_group,avg_review_palate_p_beer_p_style_p_group,avg_review_taste_p_beer_p_style_p_group,total_reviews_per_beer_per_style_by_cluster,full_total_styles,full_total_beers,review_overall_per_group_full,review_appearance_per_group_full,review_palate_per_group_full,review_taste_per_group_full,review_aroma_per_group_full,full_total_groups
0,Bocks,Innstadt Brauerei,Bock,D' Inn'Staade,5.6,0.0,4.0,3.91,3.93,3.84,3.98,107.0,3104.0,4.0,3.5,3.5,3.0,4.0,1.0,50610,18,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
1,Brown Ales,COAST Brewing Company,Altbier,ALTerior Motive,6.3,0.0,3.88,3.74,3.79,3.74,3.88,77.0,3104.0,4.0,4.0,3.5,4.0,4.0,1.0,48899,16,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
2,Dark Ales,Brouwerij Haacht NV,Belgian Dark Ale,Tongerlo 6 Dubbel Bruin,6.0,0.0,3.77,3.7,3.89,3.73,3.83,119.0,3104.0,3.5,3.5,3.5,3.5,3.75,2.0,60821,23,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
3,Dark Lagers,Mildura Theatre Brewery Pty Ltd,American Amber / Red Lager,Mallee Bull Heavy,5.6,0.0,3.91,3.59,3.74,3.59,3.8,82.0,3104.0,2.5,3.0,3.0,2.0,2.0,1.0,60925,16,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
4,Hybrid Beers,Mountain Goat Beer Pty Ltd,California Common / Steam Beer,Mountain Goat Steam Ale,5.1,0.0,3.98,3.88,3.92,3.73,3.98,26.0,3104.0,3.5,3.0,3.0,3.5,3.5,1.0,15775,21,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
5,India Pale Ales,Rock Bottom Restaurant & Brewery,American IPA,Improper Hopper,5.9,0.0,3.75,3.92,3.99,3.82,3.88,194.0,3104.0,4.0,3.5,3.0,3.5,3.5,1.0,210717,27,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
6,Pale Ales,Mildura Theatre Brewery Pty Ltd,American Amber / Red Ale,Storm Cloudy Ale,4.5,0.0,3.74,3.7,3.84,3.7,3.73,167.0,3104.0,3.5,3.5,4.0,3.5,3.0,1.0,208731,14,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
7,Pilseners and Pale Lagers,Birrificio Italiano,German Pilsener,Tipo Pils,5.0,0.0,3.21,2.63,2.95,2.88,2.89,170.0,3104.0,4.0,3.0,5.0,3.0,3.0,1.0,116531,16,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
8,Porters,Cold Spring Brewing Co.,Black & Tan,Cold Spring Moonlight Ale,5.0,0.0,3.81,3.79,4.06,3.79,3.84,70.0,3104.0,1.5,2.5,4.0,1.5,1.5,1.0,67373,25,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
9,Specialty Beers,Lavery Brewing Company,Pumpkin Ale,Stingy Jack Pumpkin Ale,7.5,0.0,3.91,3.9,3.81,3.69,3.92,657.0,3104.0,4.0,4.0,4.0,3.5,4.0,1.0,83381,15,3.9073775773195876,3.9007731958762886,3.8004188144329896,3.9318621134020617,3.8458440721649483,3104.0
