,Unnamed: 0,beer_name,brewery_name,beer_style,beer_abv,main_style,cluster,avg_review_overall_p_style_p_group,avg_review_aroma_p_style_p_group,avg_review_appearance_p_style_p_group,avg_review_palate_p_style_p_group,avg_review_taste_p_style_p_group,total_reviews_per_style_by_cluster,total_reviews_by_cluster,avg_review_overall_p_beer_p_style_p_group,avg_review_aroma_p_beer_p_style_p_group,avg_review_appearance_p_beer_p_style_p_group,avg_review_palate_p_beer_p_style_p_group,avg_review_taste_p_beer_p_style_p_group,total_reviews_per_beer_per_style_by_cluster,full_total_styles,full_total_beers,review_overall_per_group_full,review_appearance_per_group_full,review_palate_per_group_full,review_taste_per_group_full,review_aroma_per_group_full,full_total_groups,image_url,main_style_cluster_count,sub_style_cluster_count,total_users_in_cluster
0,0,Cantillon Blåbær Lambik,Brasserie Cantillon,Lambic - Fruit,5.0,Specialty Beers,0.0,3.91,3.9,3.81,3.69,3.92,657.0,3104.0,5.0,4.5,4.5,4.75,5.0,2.0,83381,156,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn.beeradvocate.com/im/beers/36316.jpg,243.0,36.0,480
1,1,Darkness,Surly Brewing Company,Russian Imperial Stout,10.3,Stouts,0.0,3.9,4.03,4.13,3.94,4.06,285.0,3104.0,5.0,4.25,4.5,5.0,5.0,2.0,166797,649,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn.beeradvocate.com/im/beers/33127.jpg,142.0,42.0,480
2,2,Rumpkin,Avery Brewing Company,Pumpkin Ale,15.9,Specialty Beers,0.0,3.91,3.9,3.81,3.69,3.92,657.0,3104.0,5.0,4.5,4.75,4.75,5.0,2.0,83381,94,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://d1h6bqmdexfe1t.cloudfront.net/uploads/beer/bottle_image/29/desktop2x_1454460776_Bottle_Rumpkyn.png,243.0,33.0,480
3,3,2XIPA,Southern Tier Brewing Company,American Double / Imperial IPA,8.2,India Pale Ales,0.0,3.75,3.92,3.99,3.82,3.88,194.0,3104.0,5.0,5.0,4.5,4.5,5.0,1.0,210717,712,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn.beeradvocate.com/im/beers/57908.jpg,125.0,57.0,480
4,4,668 The Neighbor Of The Beast,New England Brewing Co.,Belgian Strong Pale Ale,9.0,Strong Ales,0.0,4.09,4.05,4.09,4.04,4.19,848.0,3104.0,5.0,5.0,4.5,5.0,5.0,1.0,207116,113,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn1.wine-searcher.net/images/labels/03/87/10640387.jpg,338.0,51.0,480
5,5,Acer Quercus - The Bruery / Lawson's Finest Liquids Collaboration,Lawson's Finest Liquids,American Strong Ale,9.5,Strong Ales,0.0,4.09,4.05,4.09,4.04,4.19,848.0,3104.0,5.0,5.0,4.5,4.5,5.0,1.0,207116,59,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,"https://res.cloudinary.com/ratebeer/image/upload/w_152,h_309,c_pad,d_beer_img_default.png,f_auto/beer_146560",338.0,39.0,480
6,6,Affligem Blond,Brouwerij De Smedt / Brouwerij Affligem,Belgian Strong Pale Ale,6.7,Strong Ales,0.0,4.09,4.05,4.09,4.04,4.19,848.0,3104.0,5.0,4.5,4.5,5.0,5.0,1.0,207116,454,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,"https://res.cloudinary.com/ratebeer/image/upload/e_trim:15/d_beer_img_default.png,f_auto/beer_3733",338.0,51.0,480
7,7,AleSmith Wee Heavy,AleSmith Brewing Company,Scotch Ale / Wee Heavy,10.0,Strong Ales,0.0,4.09,4.05,4.09,4.04,4.19,848.0,3104.0,5.0,5.0,4.0,4.5,5.0,1.0,207116,358,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,http://alesmith.com/wp-content/uploads/2010/05/Alesmith-BA-Wee-Heavy1.png,338.0,25.0,480
8,8,Apple Ale,New Glarus Brewing Company,Fruit / Vegetable Beer,4.0,Specialty Beers,0.0,3.91,3.9,3.81,3.69,3.92,657.0,3104.0,5.0,4.0,3.5,4.0,5.0,1.0,83381,329,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://dydza6t6xitx6.cloudfront.net/ci-redds-apple-ale-68251e5fb2a2f6ea.png,243.0,103.0,480
9,9,Armand'4 Oude Geuze Lente (Spring),Brouwerij Drie Fonteinen,Gueuze,6.0,Wild/Sour Beers,0.0,4.19,4.11,4.07,4.11,4.16,99.0,3104.0,5.0,4.0,5.0,5.0,5.0,1.0,32378,65,3.907377577319588,3.900773195876289,3.8004188144329896,3.9318621134020617,3.845844072164948,3104.0,https://cdn.beeradvocate.com/im/beers/68548.jpg,63.0,16.0,480
